Date (mm/dd/yyyy),Closures
01/15/2004,1
01/28/2004,2
02/06/2004,3
02/18/2004,4
12/05/2002,1
02/07/2003,2
03/07/2003,3
04/07/2003,4
12/13/2007,1
02/14/2007,1
03/16/2007,2
04/16/2007,3
12/09/2005,1
01/03/2006,2
01/19/2006,3
01/20/2006,4
03/02/2006,5
12/02/2004,1
01/06/2005,2
03/01/2005,3
02/05/2001,1
03/05/2001,2
03/06/2001,3
01/04/2018,1
01/17/2018,2
02/09/2017,1
03/10/2017,2
03/14/2017,3
11/05/2015,1
01/27/2015,1
02/02/2015,2
02/09/2015,3
03/05/2015,4
12/10/2013,1
12/17/2013,2
02/03/2014,3
02/05/2014,4
02/13/2014,5
02/14/2014,6
03/18/2013,1
10/31/2011,1
11/01/2011,2
01/07/2011,1
01/12/2011,2
01/18/2011,3
01/21/2011,4
01/27/2011,5
02/01/2011,6
02/02/2011,7
02/10/2010,1
02/26/2010,2
03/01/2010,3
12/19/2008,1
01/07/2009,2
01/28/2009,3
03/02/2009,4
